Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,361685,-,-,-,47.41,0.78,1,54,1,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,Temperature,GHI,Relative Humidity,Pressure,Precipitable Water,Wind Direction,Wind Speed,Dew Point,Cloud Type,Fill Flag
2018,1,1,0,0,6,0,100,1029,0.9,12,0.9,6,1,0
2018,1,1,0,15,6,0,100,1029,0.9,12,0.9,6,1,0
2018,1,1,0,30,6,0,100,1029,0.9,12,0.9,6,1,0
2018,1,1,0,45,6,0,100,1029,0.9,12,0.9,6,1,0
2018,1,1,1,0,7,0,83.92,1006,1.1,252,6.2,4.5,0,0
2018,1,1,1,15,6.9,0,84.49,1006,1.1,252,6.1000000000000005,4.5,0,0
2018,1,1,1,30,6.9,0,84.49,1006,1.1,252,6,4.5,0,0
2018,1,1,1,45,6.9,0,85.94,1006,1.1,252,5.9,4.7,0,0
2018,1,1,2,0,6.800000000000001,0,86.53,1006,1.1,252,5.7,4.7,0,0
2018,1,1,2,15,6.800000000000001,0,86.53,1006,1.1,251,5.7,4.7,0,0
2018,1,1,2,30,6.800000000000001,0,86.53,1006,1.1,251,5.7,4.7,0,0
2018,1,1,2,45,6.800000000000001,0,87.57000000000001,1007,1.1,250,5.6000000000000005,4.9,0,0
2018,1,1,3,0,6.800000000000001,0,87.57000000000001,1007,1.1,250,5.6000000000000005,4.9,0,0
2018,1,1,3,15,6.800000000000001,0,87.57000000000001,1007,1.1,249,5.6000000000000005,4.9,0,0
2018,1,1,3,30,6.9,0,86.97,1007,1.1,248,5.6000000000000005,4.9,0,0
2018,1,1,3,45,6.9,0,87.68,1007,1.1,248,5.6000000000000005,5,0,0
2018,1,1,4,0,6.9,0,87.68,1007,1.1,247,5.6000000000000005,5,0,0
2018,1,1,4,15,6.9,0,87.68,1007,1.1,245,5.5,5,0,0
2018,1,1,4,30,6.9,0,87.68,1007,1.1,244,5.5,5,0,0
2018,1,1,4,45,6.9,0,88.41,1007,1.1,242,5.4,5.1000000000000005,0,0
2018,1,1,5,0,6.9,0,88.41,1007,1.1,241,5.4,5.1000000000000005,0,0
2018,1,1,5,15,6.9,0,88.41,1007,1.2000000000000002,239,5.300000000000001,5.1000000000000005,0,0
2018,1,1,5,30,6.9,0,88.33,1006,1.2000000000000002,238,5.300000000000001,5.1000000000000005,0,0
2018,1,1,5,45,6.9,0,89.76,1006,1.2000000000000002,236,5.300000000000001,5.300000000000001,0,0
2018,1,1,6,0,6.9,0,89.76,1006,1.3,234,5.300000000000001,5.300000000000001,0,0
2018,1,1,6,15,6.9,0,89.76,1006,1.3,232,5.4,5.300000000000001,0,0
2018,1,1,6,30,7,0,89.15,1006,1.4000000000000001,230,5.4,5.300000000000001,7,0
2018,1,1,6,45,7,0,91.49,1005,1.4000000000000001,228,5.5,5.7,7,0
2018,1,1,7,0,7.1000000000000005,0,90.86,1005,1.5,226,5.5,5.7,7,0
2018,1,1,7,15,7.2,0,90.25,1005,1.5,223,5.5,5.7,7,0
2018,1,1,7,30,7.2,0,90.25,1005,1.6,219,5.6000000000000005,5.7,6,0
2018,1,1,7,45,7.300000000000001,0,93.15,1004,1.6,216,5.6000000000000005,6.300000000000001,6,0
2018,1,1,8,0,7.300000000000001,0,93.15,1004,1.6,213,5.6000000000000005,6.300000000000001,6,0
2018,1,1,8,15,7.4,0,92.52,1004,1.6,211,5.7,6.300000000000001,6,0
2018,1,1,8,30,7.5,0,91.8,1003,1.6,208,5.800000000000001,6.300000000000001,6,0
2018,1,1,8,45,7.6000000000000005,0,94.49,1003,1.6,206,5.9,6.800000000000001,6,0
2018,1,1,9,0,7.7,2,93.85000000000001,1003,1.7000000000000002,204,6.1000000000000005,6.800000000000001,9,3
2018,1,1,9,15,7.800000000000001,4,93.12,1002,1.7000000000000002,203,6.2,6.800000000000001,6,3
2018,1,1,9,30,8,5,91.78,1001,1.7000000000000002,201,6.4,6.7,9,3
2018,1,1,9,45,8.1,6,94.02,1001,1.7000000000000002,199,6.6000000000000005,7.2,6,3
2018,1,1,10,0,8.200000000000001,7,93.29,1000,1.8,197,6.7,7.2,9,3
2018,1,1,10,15,8.4,8,92.04,1000,1.8,200,7,7.2,9,3
2018,1,1,10,30,8.6,11,90.71000000000001,999,1.8,203,7.300000000000001,7.2,4,3
